date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime,symbol
2021-09-01,09:30,09:30 AM,452.61,452.26,452.432,6876,3110921.07,32,452.63,452.26,452.489,627088,283750683.0443,2079,452.56,452.28,452.56,452.35,0,0,SPY
2021-09-01,09:31,09:31 AM,452.53,452.4,452.447,2091,946066.69,13,452.54,452.34,452.451,145027,65617561.9208,883,452.4,452.445,452.36,452.496,0.00003315415355232688,-0.00008397994205373849,SPY
2021-09-01,09:32,09:32 AM,452.52,452.375,452.459,3754,1698529.78,28,452.56,452.345,452.472,214037,96845682.19,1436,452.51,452.44,452.49,452.49,0.00005967747639421352,-0.000037569974076708845,SPY
2021-09-01,09:33,09:33 AM,452.58,452.46,452.522,1839,832187.335,14,452.6,452.44,452.533,197157,89220056.9169,1373,452.47,452.53,452.49,452.51,0.00019892492131408696,0.00009723993290453373,SPY
2021-09-01,09:34,09:34 AM,452.51,452.43,452.456,1711,774152.08,17,452.54,452.43,452.472,165133,74718075.4559,1203,452.495,452.5,452.5,452.49,0.000053046645683773274,-0.000037569974076708845,SPY
2021-09-01,09:35,09:35 AM,452.48,452.42,452.458,1790,809899.26,16,452.51,452.4,452.452,149983,67860121.2972,1192,452.45,452.48,452.48,452.409,0.000057467199490775316,-0.00008176994357868969,SPY
2021-09-01,09:36,09:36 AM,452.355,452.27,452.315,1436,649524.405,15,452.42,452.265,452.32,111746,50544930.5462,746,452.3,452.295,452.41,452.32,-0.0002586023977084261,-0.00037348974229203964,SPY
2021-09-01,09:37,09:37 AM,452.37,452.28,452.314,2233,1010016.82,18,452.37,452.28,452.319,92621,41894227.51,703,452.33,452.33,452.33,452.33,-0.00026081267461186433,-0.00037569974076708847,SPY
2021-09-01,09:38,09:38 AM,452.375,452.29,452.322,2362,1068385.44,18,452.41,452.29,452.338,97064,43905772.1473,744,452.32,452.35,452.33,452.35,-0.00024313045938398177,-0.0003337097697401564,SPY
2021-09-01,09:39,09:39 AM,452.37,452.29,452.316,2388,1080129.66,14,452.4,452.29,452.337,107847,48783196.331,777,452.31,452.35,452.31,452.313,-0.0002563921208049879,-0.0003359197682153308,SPY
